city,lat,long,state,date,visit_order,year
New York City,40.7127837,-74.0059413,NY,March,1,1972
Greenwich,51.4825766,-0.0076589,CT,April,2,1972
Baltimore,39.2903848,-76.6121893,MD,June,3,1972
Fredericksburg,38.3031837,-77.4605399,VA,June,4,1972
Richmond,37.5407246,-77.4360481,VA,June,5,1972
Raleigh,35.7795897,-78.6381787,NC,June,6,1972
Columbia,4.570868,-74.297333,SC,June,7,1972
Aiken,33.5604168,-81.7195533,SC,June,8,1972
Macon,32.8406946,-83.6324022,GA,June,9,1972
Columbus,39.9611755,-82.9987942,GA,June,10,1972
Montgomery,32.3668052,-86.2999689,AL,June,11,1972
Selma,32.4073589,-87.0211007,AL,June,12,1972
Meridian,32.3643098,-88.703656,MS,June,13,1972
Marshall,34.3652297,-86.3376761,TX,June,14,1972
Dallas,32.7766642,-96.7969879,TX,June,15,1972
Mineral Wells,32.8084605,-98.1128223,TX,June,16,1972
Lubbock,33.5778631,-101.8551665,TX,June,17,1972
Clovis,34.4047987,-103.2052272,NM,June,18,1972
Santa Fe,35.6869752,-105.937799,NM,June,19,1972
Santa Rosa,38.440429,-122.7140548,NM,June,20,1972
Albuquerque,35.0853336,-106.6055534,NM,June,21,1972
Chimayo,36.0039131,-105.9469656,NM,June,22,1972
Cerrillos,-33.5041325,-70.7108995,NM,June,23,1972
Pueblo Bonito,33.5784001,-111.8188508,NM,June,24,1972
Farmington,36.7280583,-108.2186856,NM,June,25,1972
Mesa Verde,33.6058577,-114.7310717,CO,June,26,1972
Durango,24.0277202,-104.6531759,CO,June,27,1972
Kanab,37.0474855,-112.5263145,UT,June,28,1972
Lake Powell,37.0682619,-111.2433108,UT,June,29,1972
Grand Canyon,36.0544445,-112.1401108,AZ,June,30,1972
Winslow,35.0241873,-110.6973571,AZ,June,31,1972
Holbrook,-35.7268382,147.311636,AZ,June,32,1972
Gallup,35.5280783,-108.7425843,NM,July,33,1972
Tucumcari,35.171723,-103.7249662,NM,July,34,1972
Amarillo,35.2219971,-101.8312969,TX,July,35,1972
Alanreed,35.2125494,-100.7343059,TX,July,36,1972
Shamrock,35.2142167,-100.2490075,TX,July,37,1972
Granite,46.3374643,-113.4647823,OK,July,38,1972
Clinton,42.5868882,-82.9195514,OK,July,39,1972
Oklahoma City,35.4675602,-97.5164276,OK,July,40,1972
Miami,25.7616798,-80.1917902,OK,July,41,1972
Springfield,42.1014831,-72.589811,MO,July,42,1972
Rolla,37.948544,-91.7715303,MO,July,43,1972
St Louis,38.6270025,-90.1994042,MO,July,44,1972
Springfield,42.1014831,-72.589811,IL,July,45,1972
Normal,40.5142026,-88.9906312,IL,July,46,1972
Chicago,41.8781136,-87.6297982,IL,July,47,1972
Sandusky,41.4489396,-82.7079605,OH,July,48,1972
Toledo,41.6639383,-83.555212,OH,July,49,1972
Philadelphia,39.9525839,-75.1652215,PA,July,50,1972
Sneden's Landing,41.0110028,-73.9039306,NY,July,51,1972
Pontiac,42.6389216,-83.2910468,MI,July,52,1972
Rochester,43.16103,-77.6109219,MI,July,53,1972
Birmingham,33.5206608,-86.80249,MI,July,54,1972
Washington DC,38.9071923,-77.0368707,Washington,August,55,1972
Staten Island,40.5795317,-74.1502007,NY,August,56,1972
Dayton,39.7589478,-84.1916069,OH,August,57,1972
Petersburg,59.9342802,30.3350986,NY,August,58,1972
Westport,41.1414717,-73.3579049,CT,September,59,1972
St John,47.5605413,-52.7128315,US Virgin Islands,November,60,1972
West Palm Beach,26.7153424,-80.0533746,FL,December,61,1972
London,51.5073509,-0.1277583,England,December,62,1972
Palm Beach,26.7056206,-80.0364297,FL,January,63,1973
Jacksonville,30.3321838,-81.655651,FL,January,64,1973
Jacksonville,30.3321838,-81.655651,NC,January,65,1973
New bern,35.108493,-77.0441143,NC,January,66,1973
Cape may,38.9351125,-74.9060053,NJ,January,67,1973
Delray Beach,26.4614625,-80.0728201,FL,March,68,1973
Cape Kennedy,28.3922182,-80.6077132,FL,April,69,1973
Memphis,35.1495343,-90.0489801,TN,December,70,1973
